arquivo;modelo;url
CAPTUR_ZEN.PNG;CAPTUR_ZEN;https://raw.githubusercontent.com/rogersalles/car_models/main/CAPTUR_ZEN.PNG
CB-1.PNG;CB-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CB-1.PNG
CB.PNG;CB;https://raw.githubusercontent.com/rogersalles/car_models/main/CB.PNG
CB_1000R.PNG;CB_1000R;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_1000R.PNG
CB_1000R_BLACK.PNG;CB_1000R_BLACK;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_1000R_BLACK.PNG
CB_1000R_BLACK_EDITION.PNG;CB_1000R_BLACK_EDITION;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_1000R_BLACK_EDITION.PNG
CB_100R.PNG;CB_100R;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_100R.PNG
CB_250F_CBS.PNG;CB_250F_CBS;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_250F_CBS.PNG
CB_250F_TWISTER_ABS.PNG;CB_250F_TWISTER_ABS;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_250F_TWISTER_ABS.PNG
CB_300F_ABS.PNG;CB_300F_ABS;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_300F_ABS.PNG
CB_300F_CBS.PNG;CB_300F_CBS;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_300F_CBS.PNG
CB_300F_TWISTER_ABS.PNG;CB_300F_TWISTER_ABS;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_300F_TWISTER_ABS.PNG
CB_300F_TWISTER_CBS.PNG;CB_300F_TWISTER_CBS;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_300F_TWISTER_CBS.PNG
CB_300R.PNG;CB_300R;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_300R.PNG
CB_500_HORNET.PNG;CB_500_HORNET;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_500_HORNET.PNG
CB_500F_ABS.PNG;CB_500F_ABS;https://raw.githubusercontent.com/rogersalles/car_models/main/CB_500F_ABS.PNG
CBR.PNG;CBR;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR.PNG
CBR_1000R.PNG;CBR_1000R;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR_1000R.PNG
CBR_1000RR-R.PNG;CBR_1000RR-R;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR_1000RR-R.PNG
CBR_1000RR-R_FIREBLADE_SP.PNG;CBR_1000RR-R_FIREBLADE_SP;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR_1000RR-R_FIREBLADE_SP.PNG
CBR_1000RR-R_SP_30_ANOS.PNG;CBR_1000RR-R_SP_30_ANOS;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR_1000RR-R_SP_30_ANOS.PNG
CBR_1000RR_FIREBLADE.PNG;CBR_1000RR_FIREBLADE;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR_1000RR_FIREBLADE.PNG
CBR_1000RR_FIREBLADE_SP.PNG;CBR_1000RR_FIREBLADE_SP;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR_1000RR_FIREBLADE_SP.PNG
CBR_650R_ABS.PNG;CBR_650R_ABS;https://raw.githubusercontent.com/rogersalles/car_models/main/CBR_650R_ABS.PNG
CELTA.PNG;CELTA;https://raw.githubusercontent.com/rogersalles/car_models/main/CELTA.PNG
CELTA_LT.PNG;CELTA_LT;https://raw.githubusercontent.com/rogersalles/car_models/main/CELTA_LT.PNG
CERATO.PNG;CERATO;https://raw.githubusercontent.com/rogersalles/car_models/main/CERATO.PNG
CG-1.PNG;CG-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CG-1.PNG
CG.PNG;CG;https://raw.githubusercontent.com/rogersalles/car_models/main/CG.PNG
CG160.PNG;CG160;https://raw.githubusercontent.com/rogersalles/car_models/main/CG160.PNG
CG_125.PNG;CG_125;https://raw.githubusercontent.com/rogersalles/car_models/main/CG_125.PNG
CG_125I.PNG;CG_125I;https://raw.githubusercontent.com/rogersalles/car_models/main/CG_125I.PNG
CG_125I_FAN.PNG;CG_125I_FAN;https://raw.githubusercontent.com/rogersalles/car_models/main/CG_125I_FAN.PNG
CG_160_TITAN.PNG;CG_160_TITAN;https://raw.githubusercontent.com/rogersalles/car_models/main/CG_160_TITAN.PNG
CG_160_TITAN_S.PNG;CG_160_TITAN_S;https://raw.githubusercontent.com/rogersalles/car_models/main/CG_160_TITAN_S.PNG
CITROA_N_AIRCROSS.PNG;CITROA_N_AIRCROSS;https://raw.githubusercontent.com/rogersalles/car_models/main/CITROA_N_AIRCROSS.PNG
CITROA_N_C3.PNG;CITROA_N_C3;https://raw.githubusercontent.com/rogersalles/car_models/main/CITROA_N_C3.PNG
CITROA_N_C3_AIRCROSS.PNG;CITROA_N_C3_AIRCROSS;https://raw.githubusercontent.com/rogersalles/car_models/main/CITROA_N_C3_AIRCROSS.PNG
CITROA_N_C3_PICASSO.PNG;CITROA_N_C3_PICASSO;https://raw.githubusercontent.com/rogersalles/car_models/main/CITROA_N_C3_PICASSO.PNG
CITROA_N_C4.PNG;CITROA_N_C4;https://raw.githubusercontent.com/rogersalles/car_models/main/CITROA_N_C4.PNG
CITROA_N_C4_CACTUS.PNG;CITROA_N_C4_CACTUS;https://raw.githubusercontent.com/rogersalles/car_models/main/CITROA_N_C4_CACTUS.PNG
CITY-1.PNG;CITY-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CITY-1.PNG
CITY.PNG;CITY;https://raw.githubusercontent.com/rogersalles/car_models/main/CITY.PNG
CIVIC-1.PNG;CIVIC-1;https://raw.githubusercontent.com/rogersalles/car_models/main/CIVIC-1.PNG
CIVIC.PNG;CIVIC;https://raw.githubusercontent.com/rogersalles/car_models/main/CIVIC.PNG
